tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,via_tran,mot_viam,cont_res,cont_nac,cont_prod,pais_prod,pais_res,jef_migr,edad
Entrada,Ecuatorianos,2022,11,26,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,19
Salida,Ecuatorianos,2022,1,20,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,1,56
Salida,Ecuatorianos,2022,8,15,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,BRASIL BRAZIL,ECUADOR,12,35
Salida,Ecuatorianos,2022,11,10,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,25
Entrada,Ecuatorianos,2022,11,23,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,43
Entrada,Ecuatorianos,2022,7,29,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,66
Entrada,Ecuatorianos,2022,11,10,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,MEXICO MEXICO,ECUADOR,12,55
Entrada,Ecuatorianos,2022,11,18,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,24
Entrada,Ecuatorianos,2022,1,9,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,27
Salida,Ecuatorianos,2022,3,7,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,1,30
Entrada,Ecuatorianos,2022,8,30,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,18
Salida,Ecuatorianos,2022,5,14,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,Europa,FRANCIA,ECUADOR,1,50
Entrada,Ecuatorianos,2022,5,2,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,BRASIL BRAZIL,ECUADOR,1,65
Salida,Ecuatorianos,2022,8,5,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,14
Salida,Ecuatorianos,2022,11,11,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,56
Entrada,Ecuatorianos,2022,9,1,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,55
Entrada,Ecuatorianos,2022,11,7,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,MEXICO MEXICO,ECUADOR,12,35
Salida,Ecuatorianos,2022,8,26,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,44
Salida,Ecuatorianos,2022,1,12,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,43
Entrada,Ecuatorianos,2022,8,20,Mujer,ECUADOR,Vía Terrestre,Residencia,América,América,América,PERU PERU,ECUADOR,9,14
Entrada,Ecuatorianos,2022,9,29,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,52
Salida,Ecuatorianos,2022,5,4,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,33
Salida,Ecuatorianos,2022,1,29,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,Europa,ESPAÑA,ECUADOR,1,3
Salida,Ecuatorianos,2022,10,15,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,39
Entrada,Ecuatorianos,2022,11,6,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,45
Salida,Ecuatorianos,2022,2,17,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,12,45
Salida,Ecuatorianos,2022,9,21,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,CHILE,ECUADOR,12,65
Entrada,Ecuatorianos,2022,8,7,Hombre,ECUADOR,Vía Terrestre,Residencia,América,América,América,PERU PERU,ECUADOR,9,33
Entrada,Ecuatorianos,2022,2,6,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,EL SALVADOR,ECUADOR,1,27
Salida,Ecuatorianos,2022,9,28,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,NICARAGUA NICARAGUA,ECUADOR,12,2
Entrada,Ecuatorianos,2022,8,21,Mujer,ECUADOR,Vía Aérea,Turismo,Europa,América,Europa,ESPAÑA,ESPAÑA,1,41
Entrada,Ecuatorianos,2022,11,27,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,6
Entrada,Ecuatorianos,2022,12,13,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,COLOMBIA,ECUADOR,12,55
Entrada,Ecuatorianos,2022,4,23,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,26
Entrada,Ecuatorianos,2022,7,18,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,57
Salida,Ecuatorianos,2022,8,28,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,REPUBLICA DOMINICANA DOMINICAN RP,ECUADOR,1,34
Salida,Ecuatorianos,2022,1,8,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,26
Salida,Ecuatorianos,2022,9,3,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,29
Salida,Ecuatorianos,2022,5,4,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,26
Salida,Ecuatorianos,2022,9,29,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,27
Salida,Ecuatorianos,2022,12,17,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,33
Entrada,Ecuatorianos,2022,6,22,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,REPUBLICA DOMINICANA DOMINICAN RP,ECUADOR,1,26
Salida,Ecuatorianos,2022,4,22,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,54
Entrada,Ecuatorianos,2022,9,24,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,PANAMA PANAMA,ECUADOR,12,35
Entrada,Ecuatorianos,2022,10,5,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ESTADOS UNIDOS USA,12,25
Salida,Ecuatorianos,2022,10,15,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,27
Salida,Ecuatorianos,2022,2,21,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,1,34
Salida,Ecuatorianos,2022,8,6,Hombre,ECUADOR,Vía Aérea,Residencia,Europa,América,Europa,ESPAÑA,ESPAÑA,1,44
Salida,Ecuatorianos,2022,10,22,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,COLOMBIA,ECUADOR,1,41
Salida,Ecuatorianos,2022,11,10,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ARGENTINA,ECUADOR,12,77
Entrada,Ecuatorianos,2022,9,25,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,Asia,TURQUIA TURKEY,ECUADOR,12,70
Entrada,Ecuatorianos,2022,9,19,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,PANAMA PANAMA,ECUADOR,1,73
Salida,Ecuatorianos,2022,10,20,Hombre,ECUADOR,Vía Aérea,Residencia,Europa,América,Europa,ALEMANIA (UNIDAD ALEMANA) GERMANY,ALEMANIA (UNIDAD ALEMANA) GERMANY,12,43
Entrada,Ecuatorianos,2022,2,26,Hombre,ECUADOR,Vía Terrestre,Residencia,América,América,América,PERU PERU,ECUADOR,18,40
Entrada,Ecuatorianos,2022,11,5,Hombre,ECUADOR,Vía Terrestre,Residencia,América,América,América,COLOMBIA,ECUADOR,11,47
Salida,Ecuatorianos,2022,5,13,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,Europa,ESPAÑA,ECUADOR,12,16
Salida,Ecuatorianos,2022,3,26,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,54
Entrada,Ecuatorianos,2022,5,30,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,Europa,ESPAÑA,ECUADOR,12,23
Salida,Ecuatorianos,2022,7,30,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,21
Salida,Ecuatorianos,2022,11,7,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,PANAMA PANAMA,ECUADOR,1,15
Salida,Ecuatorianos,2022,4,8,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,21
Salida,Ecuatorianos,2022,5,5,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,53
Salida,Ecuatorianos,2022,11,5,Hombre,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,55
Entrada,Ecuatorianos,2022,8,3,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,REPUBLICA DOMINICANA DOMINICAN RP,ECUADOR,1,67
Salida,Ecuatorianos,2022,1,18,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,41
Salida,Ecuatorianos,2022,8,12,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,21
Salida,Ecuatorianos,2022,4,11,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,NICARAGUA NICARAGUA,ECUADOR,1,20
Salida,Ecuatorianos,2022,11,20,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,67
Entrada,Ecuatorianos,2022,11,1,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,Europa,ESPAÑA,ECUADOR,12,34
Entrada,Ecuatorianos,2022,9,26,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,55
Salida,Ecuatorianos,2022,5,2,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,30
Salida,Ecuatorianos,2022,5,19,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,41
Salida,Ecuatorianos,2022,8,3,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,68
